Date,Price_compare,Ethereum_Close,Ethereum_Volume,Ethereum_Open,Ethereum_High,Ethereum_Low,Silver_Close,Silver_Volume,Silver_Open,Silver_High,Silver_Low,S&P_Close,S&P_Volume,S&P_Open,S&P_High,S&P_Low,Gold_Close,Gold_Volume,Gold_Open,Gold_High,Gold_Low,30_year_Close,30_year_Volume,30_year_Open,30_year_High,30_year_Low
4/8/21,,2075.85,N/A,1997.74,2097.6,2070.14,25.585,59692,25.21,25.675,25.02,4089,N/A,4089,4089,4089,1758.2,140648,1738.6,1759.4,1733.6,156.7812,289379,155.9688,157.0938,155.9375
4/7/21,UP,1992.68,N/A,2104.49,1994.32,1951.83,25.247,42705,25.21,25.33,25.125,4069.9,8,4058.3,4059.2,4058.3,1741.6,118174,1744.4,1744.1,1736,156.375,301183,156.4062,156.2812,155.9062
4/6/21,Down,2104.03,N/A,2114.96,2128.25,2082.07,25.227,52014,24.905,25.225,25.16,4009.9,N/A,4009.9,4009.9,4009.9,1743,148878,1729.2,1745.5,1742.2,156.5312,320425,155.9062,156.625,155.5938
4/5/21,Down,2121.24,N/A,2029.49,2150.78,2108.81,24.78,38324,25.05,25.14,24.66,4009.9,N/A,4009.9,4009.9,4009.9,1728.8,100575,1730,1734.4,1721.6,155.5938,207421,155.6562,156.1875,155.1875
4/1/21,UP,1993.19,N/A,1925.82,2010.3,1949.99,24.948,62056,24.46,25.045,24.27,4009.9,N/A,4009.9,4009.9,4009.9,1728.4,166688,1709,1732,1706.4,155.6875,89424,156.4062,156.8125,155.5
3/31/21,UP,1917.44,N/A,1839.94,1944.08,1914.09,24.532,64445,24.045,24.565,23.74,4064,16,3947.3,3953.7,3947.3,1715.6,205346,1685.9,1716.3,1677.3,154.5938,605914,155.3125,155.4375,154.5
3/30/21,UP,1819.79,N/A,1793.72,1861.85,1817.09,24.137,68953,24.725,24.77,23.88,3947.7,1,3949.3,3949.3,3949.3,1686,218812,1713,1714.8,1678.3,155.0312,452379,155.0312,155.375,155.1562
3/29/21,UP,1796.9,N/A,1694.6,1827.16,1788.6,24.771,51320,25.105,25.15,24.48,3958.9,16,3943.6,3949.9,3943.6,1714.6,171876,1732.4,1734.8,1705.6,154.7812,336250,155.5938,156.4375,154.6875
3/26/21,UP,1694.38,N/A,1612.97,1717.19,1687.49,25.114,41109,25.15,25.335,24.92,3964.8,N/A,3964.8,3964.8,3964.8,1734.7,98882,1727.5,1737.9,1721.2,155.9688,372301,156.2188,156.5938,155.3125
3/25/21,UP,1620.25,N/A,1570.57,1628.28,1586.36,25.047,84471,25.17,25.24,24.925,3900.5,N/A,3900.5,3900.5,3900.5,1727.3,73549,1736,1732.2,1722.5,156.6875,500866,156.7812,157.25,156.2188
3/24/21,UP,1572.02,N/A,1679.82,1597.09,1550.11,25.231,42488,25.12,25.43,25.02,3907.5,N/A,3907.5,3907.5,3907.5,1735.5,68820,1728.2,1739.9,1724.8,156.75,368697,156.4062,157.125,155.9062
3/23/21,Down,1678.98,N/A,1700.94,1685.04,1652.07,25.227,61646,25.85,25.11,25.055,3907.5,N/A,3907.5,3907.5,3907.5,1727.5,62567,1741.2,1729.3,1727.7,156.1562,358070,155,156.5625,154.875
3/22/21,Down,1697.77,N/A,1783.57,1712.43,1668.86,25.769,60953,26.34,26.35,25.45,#N/A,#N/A,#N/A,#N/A,#N/A,1740.4,36260,1747.5,1749.2,1728.6,155.25,348083,154.4062,155.4375,154.3125
3/19/21,Down,1828,N/A,1779.84,1835.31,1801.6,26.321,51175,26.15,26.4,25.925,3880.8,61,3909.2,3909.2,3907,1743.9,36859,1736.3,1748.2,1729.3,154.0938,471098,154.3125,154.3438,154.0312
3/18/21,UP,1782.3,N/A,1834.11,1848.88,1735.42,26.351,75265,26.4,26.74,25.875,3906,N/A,3906,3906,3906,1734.6,18942,1745.9,1756,1719.1,154,627543,155.1875,154.4688,154.0938
3/17/21,Down,1835.14,N/A,1766.07,1849.23,1812.94,26.058,53877,26.005,26.615,25.805,3884,N/A,3884,3884,3884,1727.1,214084,1730,1750.6,1722,155.1562,534169,155.9375,155.3438,155.0625
